Source,Family,Genera,Species,Individuals Observed,Location,Longitude,Latitude,Country,Usual Pattern,Unusual Pattern,Pattern Notes,Iris color,Lifestage,Citation,Year,Notes
iNat,Hylidae,Hyla,Hyla cinerea ,1,"Florida, USA",28.79508833,-82.03900283,USA,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/80369897,2021,
iNat,Hylidae,Hyla,Hyla cinerea ,1,"Florida, USA",28.79515982,-82.03896126,USA,Green ,Blue ,Whole body ,N/A,Adult,https://www.inaturalist.org/observations/78608332,2021,
iNat,Hylidae,Hyla,Hyla cinerea ,1,"Georgia, USA",31.250355,-81.27954,USA,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/35432922,2019,
iNat,Hylidae,Hyla,Hyla gratiosa,1,"Georgia, USA",33.054571,-84.15575,USA,Green,Turquoise,Partial body,N/A,Adult,https://www.inaturalist.org/observations/373812,2013,
iNat,Hylidae,Hyla,Hyla arborea,1,Germany,51.54074167,13.00549445,Germany,Green,Blue,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/30602574,2019,
iNat,Hylidae,Hyla,Hyla meridionalis,1,"Gerona, Spain",42.25342942,3.25339285,Spain,Green,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/77660974,2012,
iNat,Hylidae,Hyla,Hyla meridionalis,1,"Gerona, Spain",42.33049088,2.874047413,Spain,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/38749392,2020,
iNat,Hylidae,Hyla,Hyla meridionalis,1,"Gerona, Spain",42.3576919,3.023858741,Spain,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/64164236,2020,
iNat,Hylidae,Hyla,Hyla cinerea ,1,"Illinois, USA",37.12668617,-88.48370333,USA,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/24328463,2019,
iNat,Hylidae,Hyla,Hyla versicolor - chrysoscelis (complex),1,"Illinois, USA",41.2600409,-88.16787653,USA,Green,Blue,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/32742835,2019,
iNat,Hylidae,Hyla,Hyla versicolor - chrysoscelis (complex),1,"Illinois, USA",41.79317172,-87.85343998,USA,Green,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/72820591,2021,hibernating? duplicate record https://www.inaturalist.org/observations/73824652
iNat,Hylidae,Hyla,Hyla versicolor - chrysoscelis (complex),1,"Illinois, USA",42.23542427,-89.23575097,USA,Green,Blue,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/34726246,2019,
iNat,Hylidae,Hyla,Hyla versicolor - chrysoscelis (complex),1,"Illinois, USA",42.40195833,-89.44886667,USA,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/78651131,2021,
iNat,Hylidae,Hyla,Hyla versicolor - chrysoscelis (complex),1,"Indiana, USA",41.32322986,-85.56078066,USA,Brown,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/39894090,2020,
iNat,Hylidae,Hyla,Hyla meridionalis,1,Italy,43.84033585,7.904699802,Italy,Green,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/15414229,2018,
Sci Lit,Hylidae,Hyla,Hyla japonica,1,Japan,138.2529,36.2048,Japan,,blue,,,juvenile,"Nishioka & Ueda, 1985, Jablonski et al. 2014",,
Sci Lit,Hylidae,Hyla,Hyla japonica,1,Japan,138.2529,36.2048,Japan,,blue,,,juvenile,"Nishioka & Ueda, 1985, Jablonski et al. 2014",,
iNat,Hylidae,Hyla,Hyla japonica,1,"Jukseong-dong, South Korea",36.74946333,126.4431333,South Korea,Green,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/26488229,2019,
iNat,Hylidae,Hyla,Hyla japonica,1,"Komsomolsk-on-Amur, Russia",50.728745,136.68695,Russia,Green,Blue/Silver,Whole body,N/A,Adult,https://www.inaturalist.org/observations/31332300,2019,
iNat,Hylidae,Hyla,Hyla meridionalis,1,"Liguria, Italy",44.14857783,8.27823833,Italy,Green,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/47122149,2020,
iNat,Hylidae,Hyla,Hyla cinerea ,1,"Louisiana, USA",30.47216394,-90.03757365,USA,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/58738950,2020,
iNat,Hylidae,Hyla,Hyla versicolor - chrysoscelis (complex),1,"Manitoba, Canada",49.31804655,-97.14665697,Canada,Green,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/62205347,2020,
iNat,Hylidae,Hyla,Hyla versicolor - chrysoscelis (complex),1,"Massachusetts, USA",42.69016667,-70.98725,USA,Green,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/28647690,2017,
iNat,Hylidae,Hyla,Hyla versicolor - chrysoscelis (complex),1,"Michigan, USA",42.44357476,-84.13719457,USA,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/57121172,2020,
iNat,Hylidae,Hyla,Hyla versicolor - chrysoscelis (complex),1,"Michigan, USA",42.81999969,-84.25111389,USA,Green,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/78821932,2021,
iNat,Hylidae,Hyla,Hyla versicolor - chrysoscelis (complex),1,"Minnesota, USA",44.71481964,-93.42644931,USA,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/46504848,2020,
iNat,Hylidae,Hyla,Hyla versicolor,1,"New York, USA",43.003608, -77.068214,USA,Green,Blue,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/100554292,2021,dead
iNat,Hylidae,Hyla,Hyla meridionalis,1,"Nisa, Portugal",39.51800041,-7.648376674,Portugal,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/42748703,2019,
iNat,Hylidae,Hyla,Hyla cinerea ,1,"North Carolina, USA",35.07674044,-77.14060472,USA,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/46320126,2020,
iNat,Hylidae,Hyla,Hyla cinerea ,1,"North Carolina, USA",35.1461717,-80.9157187,USA,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/5980735,2017,
iNat,Hylidae,Hyla,Hyla cinerea ,1,"North Carolina, USA",35.62718667,-79.75743833,USA,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/24893582,2019,
